gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,96,6144,2304,ck,12,0,11.8637,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,229.09,1311.28,0.0
gfx950,256,96,6144,4096,ck,12,0,20.1166,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,240.19,1329.19,0.0
gfx950,256,96,6144,4608,ck,12,0,20.3047,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,267.71,1474.22,0.0
gfx950,256,96,9216,6144,ck,12,0,26.814,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,405.45,2199.69,0.0
gfx950,256,128,512,6144,ck,8,3,8.0485,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,100.06,504.84,0.0002
gfx950,256,128,576,6144,ck,8,3,11.4382,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,79.21,391.04,0.0003
gfx950,256,128,1024,6144,ck,8,3,12.8984,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,124.87,569.07,0.0003
gfx950,256,128,2048,6144,ck,8,3,17.5746,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,183.29,790.55,0.0001
gfx950,256,128,4608,6144,ck,18,0,22.6196,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,320.42,1338.56,0.0
gfx950,256,128,6144,256,cktile,5,0,3.3873,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x128_intrawave_0x1x0_2,118.87,938.36,0.0
